,Name,Political Party,Twitter Handle
98,Tyotyo Hubert James,African National Congress (ANC),
99,Mr John Jeffery,African National Congress (ANC),@JhjSA
100,Ms Tina Joemat-Petterssen,African National Congress (ANC),
101,Heloise Jordaan,"Freedom Front + (Vryheidsfront Plus, FF+)",
102,Mr Denis Joseph,Democratic Alliance (DA),
103,Mr Jacques Warren William Julius,Democratic Alliance (DA),
104,Phuti Peter Keetse,Economic Freedom Fighters (EFF),
105,Ms Pinky Sharon Kekana,African National Congress (ANC),@Pinky_Kekana1
106,Thanduxolo David Khalipha,African National Congress (ANC),
107,Thembisile Angel Khanyile,Democratic Alliance (DA),@angel_khanyile
108,Ms Makoti Sibongile Khawula,Economic Freedom Fighters (EFF),
109,Mirriam Thenjiwe Kibi,African National Congress (ANC),
110,Ms Chantel King,Democratic Alliance (DA),@kingchantel39
111,Noxolo Kiviet,African National Congress (ANC),
112,Mr Zizi Kodwa,African National Congress (ANC),@zizikodwa
113,Ms Dianne Kohler Barnard,Democratic Alliance (DA),@DKB20
114,Rosina Ntshetsana Komane,Economic Freedom Fighters (EFF),
115,Dr Gerhardus Willem Koornhof,African National Congress (ANC),
116,Ms Semakaleng Patricia Kopane,Democratic Alliance (DA),@PatriciaKopane
117,Mr Hendrik Christiaan Crafford Krüger,Democratic Alliance (DA),@henrokruger
118,Mr Gregory Rudy Krumbock,Democratic Alliance (DA),@FrontLineGreg
119,Ms Mmamoloko Tryphosa Kubayi-Ngubane,African National Congress (ANC),@mmKubayiNgubani
120,Nomsa Josephina Kubheka,African National Congress (ANC),
121,Sibusiso Macdonald Kula,African National Congress (ANC),
122,Mr Nqabayomzi Lawrence Saziso Kwankwa,United Democratic Movement (UDM),@N_Kwankwa
123,Ronald Ozzy Lamola,African National Congress (ANC),@RonaldLamola
124,Thokozani Makhosonke Langa,Economic Freedom Fighters (EFF),
125,Mr Robert Alfred Lees,Democratic Alliance (DA),@SquireLees
126,Tidimalo Innocentia Legwase,African National Congress (ANC),
127,Mr Mosiuoa Lekota,Congress of the People (COPE),@MTLekota
128,Ms Regina Mina Mpontseng Lesoma,African National Congress (ANC),
129,Walter Tebogo Letsie,African National Congress (ANC),
130,Mr James Robert Bourne Lorimer,Democratic Alliance (DA),@JamesRLorimer
131,Dr Annelie Lotriet,Democratic Alliance (DA),@AnnelieLotriet
132,Marubini Lourane Lubengo,African National Congress (ANC),
133,Bhekizizwe Nivard Luthuli,Inkatha Freedom Party (IFP),
134,Mr Sahlulele Luzipo,African National Congress (ANC),
135,Mr Jerome Joseph Maake,African National Congress (ANC),
136,Ms Bertha Peace Mabe,African National Congress (ANC),
137,Thamsanqa Bhekokwakhe Mabhena,Democratic Alliance (DA),@SoMathamsanqa
138,Mr Mandlenkosi Sicelo Mabika,Democratic Alliance (DA),
139,Maidi Dorothy Mabiletsa,African National Congress (ANC),
140,Mr Cameron Mackenzie,Democratic Alliance (DA),@CameronMacKenz2
141,Mr Dean William Macpherson,Democratic Alliance (DA),@DeanMacpherson
142,Mr William Mothipa Madisha,Congress of the People (COPE),@williemadisha
143,Brian Sindile Madlingozi,Economic Freedom Fighters (EFF),
144,Washington Tseko Isaac Mafanya,Economic Freedom Fighters (EFF),
145,Ms Nocawe Noncedo Mafu,African National Congress (ANC),@NocaweM
146,Ms Dikeledi Phillistus Magadzi,African National Congress (ANC),
147,Khaya Magaxa,African National Congress (ANC),
148,Mr Gratitude Magwanishe,African National Congress (ANC),
149,Ms Tandi Mahambehlala,African National Congress (ANC),@MahambehlalaT
150,Mr Amos Fish Mahlalela,African National Congress (ANC),
151,Kathleen Dibolelo Mahlatsi,African National Congress (ANC),
152,Mikateko Golden Mahlaule,African National Congress (ANC),
153,Mr David Mahlobo,African National Congress (ANC),
154,Nhlagongwe Patricia Mahlo,African National Congress (ANC),
155,Mr Supra Obakeng Ramoeletsi Mahumapelo,African National Congress (ANC),
156,Pemmy Castelina Pamela Majodina,African National Congress (ANC),@MajodinaPemmy
157,Mr Fikile Zachariah Majola,African National Congress (ANC),
158,Mr Thembekile Richard Majola,Democratic Alliance (DA),
159,Zandile Majozi,Inkatha Freedom Party (IFP),
160,Ms Lusizo Sharon Makhubela-Mashele,African National Congress (ANC),@LusizoMakhub
161,Mr Thabang Makwetla,African National Congress (ANC),
162,Thlologelo Malatji,African National Congress (ANC),
163,Mr Solly Malatsi,Democratic Alliance (DA),@SollyMalatsi
164,Mr Julius Sello Malema,Economic Freedom Fighters (EFF),@Julius_S_Malema
165,Valentia Thokozile Malinga,African National Congress (ANC),
166,Vuyisile Promise Malomane,African National Congress (ANC),
167,Boitumelo Joyce Maluleke,African National Congress (ANC),
168,Jacob Boy Mamabolo,African National Congress (ANC),
169,Mr Buti Manamela,African National Congress (ANC),@ButiManamela
170,Jane Seboletswe Mananiso,African National Congress (ANC),
171,Mr Zwelivelile Mandlesizwe Dalibhunga Mandela,African National Congress (ANC),@mandlamandela
172,Boyce Makhosonke Maneli,African National Congress (ANC),
173,Ms Jane Manganye,African National Congress (ANC),
174,Lisa Nkosinathi Mangcu,African National Congress (ANC),
175,Gwede Mantashe,African National Congress (ANC),@GwedeMantashe1
176,Ms Priscilla Tozama Mantashe,African National Congress (ANC),
177,Mr Kebby Maphatsoe,African National Congress (ANC),
178,Ms Nosiviwe Mapisa-Nqakula,African National Congress (ANC),
179,Mr Mohlopi Philemon Mapulane,African National Congress (ANC),@PhillyMapulane
180,Mr Erik Johannes Marais,Democratic Alliance (DA),
181,Mr Sarel Jacobus Francois Marais,Democratic Alliance (DA),
182,Thandiswa Linnen Marawu,African Transformation Movement (ATM),
183,Ms Bridget Staff Masango,Democratic Alliance (DA),@masangobridget1
184,Nomathemba Hendrietta Maseko-Jele,African National Congress (ANC),
185,Ms Lindiwe Michelle Maseko,African National Congress (ANC),
186,Ms Ngwanamakwetle Reneiloe Mashabela,Economic Freedom Fighters (EFF),
187,Ms Candith Mashego-Dlamini,African National Congress (ANC),
188,Mfana Robert Mashego,African National Congress (ANC),
189,Timothy Victor Mashele,African National Congress (ANC),
190,Fikile Andiswa Masiko,African National Congress (ANC),
191,Noko Phineas Masipa,Democratic Alliance (DA),@NokoMasipa
192,David Masondo,African National Congress (ANC),
