,Name,Political Party,Twitter Handle
424,Brenda Tirhani Mathevula,Economic Freedom Fighters (EFF),
425,Tshitereke Baldwin Matibe,African National Congress (ANC),
426,Simo Ezra Mfayela,Inkatha Freedom Party (IFP),
427,Mr George Michalakis,Democratic Alliance (DA),@gmichalakis
428,Zolani Mkiva,African National Congress (ANC),
429,Mr Mosimanegare Kenneth Mmoiemang,African National Congress (ANC),
430,Martha Phindile Mmola,African National Congress (ANC),
431,Tebogo Constance Modise,African National Congress (ANC),
432,Mr Seiso Joel Mohai,African National Congress (ANC),@SeisoMohai
433,Moletsane Simon Moletsane,Economic Freedom Fighters (EFF),
434,Ms Moji Lydia Moshodi,African National Congress (ANC),
435,Kenny Motsamai,Economic Freedom Fighters (EFF),
436,Mr Enock Muzi Mthethwa,African National Congress (ANC),
437,Mr Mamagase Elleck Nchabeleng,African National Congress (ANC),
438,Ms Zukiswa Veronica Ncitha,African National Congress (ANC),
439,Ms Nokuzola Ndongeni,African National Congress (ANC),
440,Ms Winnie Ngwenya,African National Congress (ANC),
441,Mr Mlindi Advent Nhanha,Democratic Alliance (DA),
442,Edward Zoyisile Njadu,African National Congress (ANC),
443,Itumeleng Ntsube,African National Congress (ANC),
444,Mr Archibold Jomo Nyambi,African National Congress (ANC),@amzejomo
445,Mr Mandla Rayi,African National Congress (ANC),
446,Dennis Richard Ryder,Democratic Alliance (DA),@DennisRyderDA
447,Shahidabibi Shaikh,African National Congress (ANC),
448,Isaac Mbulelo Sileku,Democratic Alliance (DA),
449,Mr Christiaan Frederik Beyers Smit,Democratic Alliance (DA),@MP_Smit_LIM
450,Carin Visser,Democratic Alliance (DA),
451,Sam Zandamela,Economic Freedom Fighters (EFF),
