name,political_party,twitter_account,wiki_data,last_updated
Mr Bekizwe Simon Nkosi,,,,
Mr Duma Moses Nkosi,,,,
Mr Baxolile Babongile Nodada,,,,
Mrs Nontando Judith Nolutshungu,,,,
Mr Mncedisi Nontsele,,,,
Mr Xola Nqola,,,,
Mrs Elsabe Natasha Ntlangwini,,,,
Ms Nolitha Ntobongwana,,,,
Mr Madala Louis David Ntombela,,,,
Ms Khumbudzo Phophi Silence Ntshavheni,,,,
Mr Lulama Maxwell Ntshayisa,,,,
Mr Itumeleng Ntsube,,,,
Ms Makhoni Maria Ntuli,,,,
Mr Thembelani Waltermade Thulas Nxesi,,,,
Mr Mthokozisi Nkululeko Nxumalo,,,,
Mr Archibold Jomo Nyambi,,,,
Mr Mzwanele Nyhontso,,,,
Dr Bonginkosi Emmanuel Nzimande,,,,
Mr Njabulo Bheka Nzuza,,,,
Mrs Gizella Opperman,,,,
Mr Vuyani Pambo,,,,
Dr Grace Naledi Mandisa Pandor,,,,
Mr Anthony Hope Mankwana Papo,,,,
Ms Siphokuhle Patrein,,,,
Mr Mogamad Nazier Paulsen,,,,
Ms Ntaoleng Patricia Peacock,,,,
Mr Zamuxolo Joseph Peter,,,,
Ms Elizabeth Dipuo Peters,,,,
Dr Mathume Joseph Phaahla,,,,
Mrs Cheryl Phillips,,,,
Ms Carol Mokgadi Phiri,,,,
Dr Makgathatso Charlotte Chana Pilane-Majake,,,,
Ms Emma Louise Powell,,,,
Mr Xolisile Shinars Qayiso,,,,
Mr Bhekizizwe Abram Radebe,,,,
Ms Matodzi Mirriam Ramadwa,,,,
Mr Mandla Isaac Rayi,,,,
Mr Adrian Christopher Roos,,,,
Mr Dennis Richard Ryder,,,,
Mr Ashor Nick Sarupen,,,,
Dr Leon Amos Schreiber,,,,
Mr Albert Mammoga Seabi,,,,
Mr Isaac Sello Seitlholo,,,,
Mr James Selfe,,,,
Ms Machwene Rosina Semenya,,,,
Ms Lizzie Fikelephi Shabalala,,,,
Ms Nomvuzo Francisca Shabalala,,,,
Mr Ahmed Munzoor Shaik Emam,,,,
Ms Shahidabibi Shaikh,,,,
Ms Nazley Khan Sharif,,,,
Mr Maliyakhe Lymon Shelembe,,,,
Mr Henry Andries Shembeni,,,,
Mr Nyiko Floyd Shivambu,EFF,FloydShivambu,,
Mr Christopher Howard Mzwakhe Sibisi,,,,
Ms Duduzile Patricia Sibiya,,,,
Ms Nomadewuka Nancy Sihlwayi,,,,
Mr Isaac Mbulelo Sileku,,,,
Mr Patrick Sindane,,,,
Mr Narend Singh,,,,
Ms Lindiwe Nonceba Sisulu,,,,
Mr Khethamabala Petros Sithole,,,,
Mr Elvis Kholwana Siwela,,,,
Ms Violet Sizani Siwela,,,,
Ms Rhulani Thembi Siweya,,,,
Ms Annacleta Mathapelo Siwisa,,,,
Mr Gijimani Jim Skosana,,,,
Mr Mcebisi Skwatsha,,,,
Mr Christiaan Frederik Beyers Smit,,,,
Mr Mxolisa Simon Sokatsha,,,,
Mr Sakhumzi Stoffels Somyo,,,,
Ms Nokulunga Primrose Sonti,,,,
Ms Makhotso Magdeline Sotyu,,,,
Ms Eleanore Rochelle Jacquelene Spies,,,,
Mr John Henry Steenhuisen,,,,
Mrs Annette Steyn,,,,
Mr Dikgang Mathews Stock,,,,
Ms Marie Elizabeth Sukers,,,,
Mr Steven Nicholas Swart,,,,
Ms Bernice Swarts,,,,
Mrs Nomsa Innocencia Tarabella Marchesi,,,,
M. Gen Ockert Stefanus Terblanche,,,,
Dr Sophie Suzan Thembekwayo,,,,
Mr Wayne Maxim Thring,,,,
Mrs Lorato Florence Tito,,,,
Ms Manketsi Mamoabi Emily Tlhape,,,,
Ms Keitumetse Bridgette Tlhomelang,,,,
Ms Moloko Maggie Tlou,,,,
Ms Nokuzola Gladys Tolashe,,,,
Ms Tshoganetso Mpho Adolphina Tongwane,,,,
Ms Grace Kekulu Tseke,,,,
Mr Mohatla Alfred Tseki,,,,
Mr Solomon Lechesa Tsenoli,,,,
Ms Judith Tshabalala,,,,
Mr Mgcini Tshwaku,,,,
Ms Busisiwe Tshwete,,,,
Ms Pamela Tshwete,,,,
Ms Phumzile Thelma Van Damme,DA,zilevandamme,,
Ms Liezl Linda Van Der Merwe,,,,
Mrs Désirée Van Der Walt,,,,
Mrs Veronica Van Dyk,,,,
Ms Benedicta Maria Van Minnen,,,,
Ms Sharome Renay van Schalkwyk,,,,
Mr Philippus Adriaan Van Staden,,,,
Ms Carin Visser,,,,
Mr Thomas Charles Ravenscroft Walters,,,,
Mr Michael Waters,,,,
Ms Annerie Maria Magdalena Weber,,,,
Mr Wouter Wynand Wessels,,,,
Mr Andrew Grant Whitfield,,,,
Mrs Evelyn Rayne Wilson,,,,
Ms Hannah Shameema Winkler,,,,
Mr Matthews Johannes Wolmarans,,,,
Mr Vusumuzi Cyril Xaba,,,,
Ms Phindisile Pretty Xaba-Ntshaba,,,,
Mr Fikile Devilliers Xasa,,,,
Ms Sheilla Tembalam Xego,,,,
Mr Bafuze Sicelo Yabo,,,,
Mrs Yoliswa Nomampondomise Yako,,,,
Mr Sam Zandamela,,,,
Ms Beauty Thulani Zibula,,,,
Ms Lindiwe Daphne Zulu,,,,
Ms Audrey Sbongile Zuma,,,,
Ms Thandiwe Rose Marry Zungu,,,,
Mr Vuyolwethu Zungula,,,,
Mr Mosebenzi Joseph Zwane,,,,
