name,political_party,twitter_account,wiki_data,last_updated
Ms Ayanda Dlodlo,ANC,MinAyandaDlodlo,https://www.wikidata.org/wiki/Q28839897,2019-07-31
Ms Beauty Nomvuzo Dlulane,ANC,none_found,https://www.wikidata.org/wiki/Q16746644,2019-07-31
Mr Thamsanqa Simon China Dodovu,ANC,none_found,,2019-07-31
Mr Stephanus Franszouis Du Toit,FFPlus,none_found,,2019-07-31
Ms Mary-Ann Lindelwa Dunjwa,ANC,DunjwaLindelwa,https://www.wikidata.org/wiki/Q16746651,2019-07-31
Ms Pumza Patricia Dyantyi,ANC,none_found,https://www.wikidata.org/wiki/Q64399294,2019-07-31
Mr Qubudile Richard Dyantyi,ANC,rdyantyi,https://www.wikidata.org/wiki/Q7325331,2019-07-31
Mr Willem Frederik Faber,DA,willemfaber007,https://www.wikidata.org/wiki/Q64399412,2019-07-31
Ms Zukisa Cheryl Faku,ANC,none_found,https://www.wikidata.org/wiki/Q47529616,2019-07-31
Mr Cedric Thomas Frolick,ANC,CedricFrolick,https://www.wikidata.org/wiki/Q5057098,2019-07-31
Mr Mandlenkosi Phillip Galo,AIC,none_found,https://www.wikidata.org/wiki/Q47529626,2019-07-31
Ms Nqabisa Gantsho,ANC,none_found,https://www.wikidata.org/wiki/Q64399291,2019-07-31
Mr Godrich Ahmed Gardee,EFF,GardeeGodrich,https://www.wikidata.org/wiki/Q47529790,2019-07-31
Ms Annah Gela,ANC,none_found,https://www.wikidata.org/wiki/Q64399314,2019-07-31
Dr Dion Travers George,DA,diontgeorge,https://www.wikidata.org/wiki/Q5279277,2019-07-31
Ms Maurencia Natalie Gillion,ANC,maurenciag,,2019-07-31
Ms Nomalungelo Gina,ANC,ngina73,https://www.wikidata.org/wiki/Q16746657,2019-07-31
Ms Matshidiso Melina Gomba,ANC,none_found,https://www.wikidata.org/wiki/Q64399327,2019-07-31
Dr Mimmy Martha Gondwe,DA,none_found,https://www.wikidata.org/wiki/Q64399479,2019-07-31
Mr Pravin Jamnadas Gordhan,ANC,none_found,https://www.wikidata.org/wiki/Q561279,2019-07-31
